Date,Swap,Asset,LiquidationValue
2023/09/11 00:00:00,3955,5111823,
2023/09/12 00:00:00,4085,5111950,
2023/09/13 00:00:00,4301,5112163,
2023/09/14 00:00:00,4431,5119387,
2023/09/15 00:00:00,4959,,
2023/09/19 00:00:00,5565,5122403,
2023/09/20 00:00:00,5673,5127978,
2023/09/21 00:00:00,5917,5133565,
2023/09/22 00:00:00,5665,5143251,
2023/09/25 00:00:00,4765,5146037,
2023/09/27 00:00:00,162,5154165,
2023/09/28 00:00:00,0,5159666,
2023/10/02 00:00:00,124,5176123,
2023/10/03 00:00:00,0,5182351,
2023/10/06 00:00:00,713,5205478,
2023/10/12 00:00:00,,5228917,
2023/10/19 00:00:00,,5252884,
2023/10/23 00:00:00,8037,,
2023/10/27 00:00:00,14225,5276579,
2023/11/01 00:00:00,18548,5293412,
2023/11/02 00:00:00,19911,5300060,
2023/11/04 00:00:00,25070,5322559,
2023/11/09 00:00:00,27317,5347837,
2023/11/10 00:00:00,28107,5358541,
2023/11/13 00:00:00,26490,5364932,
2023/11/16 00:00:00,29217,5391003,
2023/11/25 00:00:00,42304,5466469,
2023/12/04 00:00:00,30630,5542696,
2023/12/18 08:58:42,25590,5635668,5407718
2023/12/18 09:05:16,25590,5635668,5401412
2023/12/18 09:07:09,25590,5635668,5403000
2023/12/18 09:07:28,25590,5635668,5408010
2023/12/18 11:18:57,25590,5644509,5464108
2023/12/18 13:17:37,25414,5653381,5492419
2023/12/19 07:20:54,26124,5654206,5386006
2023/12/19 13:08:34,26124,5654206,5411538
2023/12/19 15:03:27,26124,5654206,5421397
2023/12/19 16:29:21,26124,5654206,5434388
2023/12/19 21:32:43,26962,5655044,5416031
2023/12/20 06:27:55,26962,5655044,5414778
2023/12/20 12:42:16,26962,5664067,5408554
2023/12/20 15:53:37,26962,5664067,5448070
2023/12/21 07:23:16,27566,5674040,5468264
2023/12/21 15:47:45,27566,5674040,5397406
